Temperature;Price
2,41;2,935
1,8;2,912
1,14;2,872
0,97;2,901
0,26;2,88
-0,31;2,89
-0,82;2,889
-1,24;2,912
-1,57;3,038
-1,89;3,2
-2,17;3,547
-2,05;3,757
-0,66;3,704
1,79;3,712
3,68;3,601
3,04;3,553
3,95;3,445
4,22;3,348
3,57;3,34
2,37;3,477
1,42;3,609
0,56;3,416
-0,23;3,199
-0,99;3,115
-1,76;3,098
-2,57;3,061
-3,19;2,979
-4,03;2,962
-4,51;2,874
-4,76;2,832
-4,59;2,816
-4,38;2,828
-4,21;2,848
-4,04;2,933
-3,92;2,958
-3,19;3,052
-0,64;3,081
1,83;3,11
3,55;3,112
3,71;3,102
4,61;3,087
4,32;3,088
3,39;3,106
2,23;3,145
1,45;3,213
0,74;3,187
0,04;3,123
-0,51;3,106
-1,37;3,058
-2,08;3,014
-2,17;2,941
-2,52;2,881
-2,9;2,822
-3,43;2,787
-3,79;2,777
-3,97;2,794
-4,04;2,849
-4,02;2,896
-4,07;2,915
-3,38;3,04
-1,42;3,128
1,08;3,136
3,16;3,143
2,6;3,136
3,56;3,133
3,86;3,128
3,23;3,137
2,08;3,197
1,01;3,268
0,16;3,249
-0,67;3,202
-1,56;3,147
-2,55;3,137
-3,48;3,131
-3,56;3,089
-3,84;3,09
-4,29;3,07
-4,58;3,074
-4,65;3,074
-4,62;3,122
-4,54;3,161
-4,37;3,397
-4,29;4,448
-3,57;4,842
-1,17;5,173
1,16;5,151
2,81;4,987
3,65;4,634
3,92;4,318
3,95;4,783
4,03;4,663
3,4;6,279
3,14;8,105
2,97;5,97
2,85;4,201
2,8;3,4
2,46;3,245
2,41;3,163
2,4;3,099
2,47;3,064
2,5;3,036
2,5;3,038
2,48;3,037
2,48;3,069
2,45;3,128
2,48;3,206
2,53;4,013
3;4,174
4,08;3,716
5,3;3,58
6,31;3,399
6,04;3,32
6,48;3,277
6,2;3,252
5,73;3,256
5,24;3,306
5,05;3,314
4,86;3,23
4,72;3,14
4,51;3,074
4,23;3,04
3,96;3,001
3,81;2,956
3,81;2,88
3,84;2,841
3,87;2,829
3,92;2,833
3,93;2,886
4,02;2,964
4,08;3,008
4,23;3,08
4,72;3,091
5,49;3,076
6,29;3,059
6,97;3,045
5,24;3,026
5,47;3,004
5,6;2,991
5,55;2,998
5,22;3,016
5,04;3,028
4,94;2,999
4,86;2,949
4,74;2,896
4,65;2,889
4,6;2,869
4,57;2,784
4,57;2,677
4,53;2,609
4,36;2,593
4,22;2,62
4,07;2,768
3,95;2,865
3,71;2,902
3,44;2,971
3,49;3,005
4,41;2,998
6,46;2,987
7,08;2,97
5,25;2,94
5,66;2,921
5,44;2,913
4,55;2,933
3,38;2,962
2,91;2,976
2,6;2,969
2,3;2,936
2,05;2,878
1,75;2,872
1,47;2,867
1,18;2,819
0,94;2,705
0,82;2,679
0,68;2,661
0,57;2,685
0,53;2,763
0,54;2,784
0,54;2,861
0,52;2,97
0,82;2,997
1,8;2,987
3,54;2,979
5,06;2,967
4,93;2,943
5,84;2,931
6,36;2,908
6,4;2,913
4,95;2,94
4,29;2,961
4,53;2,955
4,29;2,88
4,07;2,825
3,95;2,812
3,92;2,784
4,04;2,736
4,12;2,736
4,24;2,683
4,36;2,658
4,39;2,661
4,34;2,684
4,27;2,744
4,22;2,739
4,19;2,797
4,61;2,853
4,86;2,896
5,29;2,925
5,73;2,927
5,53;2,903
5,88;2,895
6,04;2,89
5,83;2,928
5,3;2,969
4,83;2,995
4,9;2,988
4,57;2,963
4,44;2,904
4,35;2,881
4,27;2,835
4,11;2,784
3,88;2,821
3,76;2,759
3,62;2,727
3,48;2,715
3,3;2,723
3,21;2,761
3,1;2,767
2,99;2,814
3,18;2,85
3,67;2,896
4,1;2,95
4,59;2,95
4,03;2,932
4,28;2,932
4,42;2,936
4,28;2,954
3,76;2,977
1,91;2,996
2,06;2,992
2,46;2,974
2,28;2,956
2,02;2,936
1,68;2,888
1,25;2,813
0,93;2,796
0,54;2,748
0,17;2,719
-0,23;2,751
-0,66;2,821
-1,11;2,879
-1,58;2,955
-2,07;3,027
-2,24;3,05
-2,06;3,044
-1,58;3,019
-0,93;3,001
-1,46;2,995
-0,77;2,986
-0,59;2,986
-0,86;2,996
-2,53;3,023
-4,09;3,06
-4,76;3,027
-5,19;2,984
-5,39;2,956
-5,53;2,935
-5,7;2,884
-5,69;2,842
-5,85;2,886
-6,13;2,875
-6,3;2,873
-6,43;2,884
-6,59;2,934
-6,73;2,949
-6,89;3,034
-7,06;3,376
-6,65;3,883
-5,15;3,595
-3,38;3,511
-1,89;3,356
1,37;3,237
1,85;3,197
1,62;3,143
1,14;3,167
0,13;3,27
-0,69;3,359
-1,42;3,248
-2,04;3,065
-2,66;2,995
-3,09;2,959
-3,23;2,896
-3,32;2,84
-3,37;2,865
-3,38;2,827
-3,38;2,795
-3,23;2,796
-3,09;2,858
-3,02;2,875
-2,93;2,946
-2,98;3,09
-1,92;3,137
0,54;3,099
3;3,085
4,62;3,051
4,97;3,028
5,58;3,007
5,4;3,002
4,98;3,009
4,37;3,037
3,53;3,075
3,3;3,047
3,1;2,975
2,94;2,912
2,6;2,887
2,24;2,808
1,88;2,741
1,58;2,696
1,41;2,662
1,2;2,642
1,01;2,632
0,86;2,699
-0,11;2,799
0,61;2,918
0,58;3,097
0,98;3,129
1,56;3,123
2,67;3,12
3,83;3,109
2,27;3,094
2,37;3,09
2,26;3,094
2,21;3,113
1,78;3,142
1,39;3,174
1,29;3,149
1,21;3,066
1,18;2,985
0,9;2,967
0,64;2,905
0,39;2,866
0,14;2,823
-0,09;2,776
-0,37;2,765
-0,65;2,801
-0,97;2,852
-1,18;2,935
-1,4;3,052
-1,62;3,246
-1,34;3,239
-0,14;3,198
0,89;3,189
1,36;3,169
1,21;3,132
1,66;3,104
1,56;3,099
1,49;3,107
1,46;3,155
0,91;3,188
0,48;3,172
-0,42;3,084
-1,2;2,995
-1,84;2,968
-2,49;2,924
-3,02;2,867
-3,13;2,855
-3,61;2,812
-2,99;2,798
-2,85;2,79
-2,87;2,793
-3,15;2,808
-3,08;2,844
-3,09;2,867
-2,59;2,912
-1,25;2,96
0,17;2,982
1,71;2,982
4,31;2,977
5,1;2,96
5,71;2,951
5,91;2,976
5,01;3,016
4,05;3,078
3,18;3,039
2,32;2,994
1,65;2,959
1,52;2,934
1,41;2,895
1,41;2,851
1,41;2,861
1,35;2,794
1,21;2,749
0,62;2,725
0,1;2,718
0,09;2,741
-0,07;2,732
-0,25;2,767
0,15;2,828
1,66;2,875
3,13;2,899
4,44;2,893
3,86;2,88
4,86;2,872
5,24;2,869
5,13;2,886
3,92;2,93
2,85;2,973
2,03;2,961
1,52;2,915
0,99;2,886
0,8;2,87
0,49;2,843
0,25;2,796
0,11;2,742
-0,04;2,701
-0,18;2,699
-0,34;2,77
-0,5;2,857
-0,62;2,949
-0,66;3,038
-0,77;3,206
-0,09;3,237
1,93;3,204
3,57;3,191
4,02;3,182
2,96;3,151
3,57;3,155
4,15;3,141
4,35;3,149
4,03;3,218
3,25;3,344
2,85;3,25
2,56;3,134
2,27;3,087
2;3,022
1,7;3,002
1,33;2,931
1,01;2,862
0,7;2,844
0,38;2,846
0,1;2,863
-0,21;2,914
-0,37;3,007
-0,55;3,15
-0,77;3,436
-0,16;3,571
1,57;3,421
3,79;3,399
4,71;3,329
4,95;3,287
5,76;3,271
5,77;3,254
4,87;3,269
4,27;3,439
3,33;3,678
2,84;3,423
2,36;3,197
2,13;3,15
2,31;3,126
2;3,051
1,49;2,999
0,97;2,911
0,45;2,885
0,04;2,878
-0,28;2,886
-0,6;2,951
-0,78;3,041
-0,86;3,151
-0,98;3,46
-0,24;3,54
1,56;3,346
4;3,3
5,99;3,208
6,6;3,175
7,11;3,182
6,72;3,183
5,85;3,178
5,08;3,233
3,91;3,318
3,28;3,221
2,61;3,144
1,59;3,076
1;3,034
0,71;2,983
0,43;2,897
-0,01;2,888
-0,24;2,856
-0,46;2,848
-0,56;2,85
-0,75;2,896
-0,88;2,976
-1;3,108
-1,07;3,268
-0,39;3,296
1,68;3,277
4,05;3,277
6,24;3,243
5,14;3,239
5,25;3,254
5,07;3,28
4,73;3,256
3,79;3,291
2,55;3,359
1,75;3,337
1,05;3,246
0,6;3,178
0,39;3,134
0,24;3,068
-0,26;2,996
-0,64;2,993
-0,91;2,96
-1,33;2,953
-1,64;2,958
-1,89;3,021
-2,06;3,117
-2,27;3,235
-2,44;3,398
-1,65;3,455
0,23;3,45
2,36;3,436
3,52;3,372
2,74;3,345
3,38;3,341
3,74;3,33
3,63;3,343
2,27;3,378
1,09;3,558
0,19;3,455
-0,48;3,314
-1,08;3,19
-1,51;3,127
-1,4;3,095
-1,26;3,059
-1,4;3,064
-1,66;3,008
-1,89;2,984
-2,11;2,968
-2,33;2,991
-2,51;3,012
-2,72;3,058
-2,92;3,092
-2,65;3,136
-1,98;3,204
-0,69;3,238
0,27;3,247
-0,17;3,224
0,64;3,215
1,17;3,206
1,26;3,226
0,16;3,322
-1,43;3,384
-2,22;3,37
-2,82;3,321
-3,22;3,211
-3,49;3,174
-3,53;3,13
-3,18;3,08
-2,91;3,087
-2,51;3,058
-2,58;3,033
-2,64;3,006
-2,78;3,01
-2,8;3,03
-2,77;3,067
-2,83;3,113
-2,46;3,117
-1,97;3,165
-1,51;3,192
-0,77;3,201
-0,23;3,191
0,4;3,184
0,65;3,173
0,98;3,178
0,81;3,236
0,43;3,337
0,18;3,329
0,18;3,244
-0,08;3,18
-0,38;3,161
-0,6;3,117
-0,84;3,062
-0,96;3,036
-0,99;2,978
-1,12;2,952
-1,23;2,982
-1,29;3,073
-1,3;3,143
-1,26;3,288
-1,26;3,521
-0,77;3,72
0,52;3,646
1,76;3,52
3,32;3,398
6,02;3,388
6,18;3,391
5,78;3,42
4,84;3,446
3,35;3,498
2,49;3,838
2,39;3,655
2,42;3,4
2,21;3,317
1,97;3,209
1,81;3,161
1,59;3,101
1,48;3,107
1,52;3,091
1,48;3,081
1,51;3,088
1,64;3,134
1,77;3,276
1,86;3,375
1,85;4,01
2,49;4,244
3,2;4,136
3,87;3,994
4,34;3,629
3,36;3,465
3,34;3,492
3,36;3,547
3,25;3,524
2,91;3,735
2,5;4,217
2,37;4,074
2,19;3,558
2,02;3,38
1,82;3,339
1,63;3,289
1,41;3,2
1,27;3,161
1,15;3,13
0,99;3,119
0,88;3,124
0,79;3,184
0,79;3,342
0,81;3,425
0,78;4,391
1,51;4,702
2,34;4,732
3,41;4,643
3,58;4,174
3,24;3,792
2,97;3,842
2,96;3,95
2,82;3,888
2,67;4,18
2,55;5,474
2,55;5,256
2,55;4,179
2,5;3,771
2,51;3,574
2,52;3,381
2,48;3,314
2,44;3,249
2,44;3,234
2,4;3,225
2,37;3,237
2,26;3,322
2,22;3,363
2,14;3,788
2,08;5,014
2,58;6,105
2,73;6,108
3,18;5,809
3,39;4,919
4,29;4,913
4,24;5,012
3,9;4,831
3,67;4,707
3,2;5,01
2,51;5,896
2,24;5,707
1,84;4,19
1,26;3,722
-0,4;3,491
-0,09;3,353
0,59;3,263
0,39;3,31
0,34;3,271
0,25;3,248
0,27;3,236
0,27;3,261
0,31;3,361
0,4;3,57
0,47;4,565
1,09;5,039
1,6;4,704
2,12;4,59
2,66;3,958
2,74;3,784
3,13;3,67
2,98;3,601
2,96;3,578
2,69;3,647
2,27;3,838
2,15;3,818
2,07;3,445
1,99;3,345
1,89;3,319
1,78;3,285
1,58;3,211
1,56;3,194
1,57;3,159
1,32;3,121
1,16;3,106
1,02;3,109
0,91;3,154
0,82;3,176
0,73;3,191
1,19;3,208
1,69;3,261
2,08;3,282
2,93;3,249
1,55;3,224
2,05;3,204
2,24;3,194
2,15;3,204
1,43;3,242
0,1;3,35
1,02;3,35
-0,49;3,29
-1,17;3,238
-1,89;3,233
-1,62;3,21
-1,74;3,177
-1,79;3,109
-2;3,065
-2,31;3,006
-2,58;3,003
-2,95;2,952
-3,22;2,955
-3,44;3,002
-3,67;3,048
-3,12;3,143
-2,1;3,208
-0,4;3,234
0,81;3,231
1,1;3,129
1,48;3,069
1,2;3,061
0,65;3,094
-0,13;3,191
-1,03;3,33
-1,67;3,35
-2,24;3,321
-2,6;3,265
-2,98;3,209
-3,31;3,217
-3,74;3,104
-4,21;2,961
-4,74;2,953
-5,27;2,979
-5,73;2,971
-6,03;3,038
-6,21;3,195
-6,28;3,318
-5,88;3,523
-4,29;3,632
-2,58;3,663
-0,69;3,517
0,39;3,367
1,06;3,337
1,6;3,33
2,06;3,313
2,3;3,315
1,83;3,356
0,85;3,45
1,15;3,425
1;3,355
0,79;3,299
0,63;3,264
0,52;3,202
0,48;3,135
0,63;3,002
0,73;2,968
0,87;2,986
0,94;2,99
0,95;3,009
0,98;3,14
1,03;3,284
1,09;3,463
1,56;3,718
2,21;3,534
2,97;3,396
3,71;3,336
5,92;3,315
6,57;3,336
7,11;3,336
7,39;3,337
6,96;3,45
5,26;3,873
4,64;3,851
4,24;3,571
4;3,353
3,77;3,338
3,63;3,287
3,63;3,196
3,96;3,146
3,99;3,156
4,04;3,156
4,08;3,166
4,3;3,242
4,41;3,293
4,51;3,652
4,8;4,563
5,92;5,092
7,5;4,643
8,36;4,161
8,82;3,475
4,14;3,361
4,78;3,364
4,75;3,434
5,06;3,394
5,16;3,503
5,17;3,756
5,17;3,972
4,94;3,408
4,69;3,314
4,2;3,295
3,92;3,197
3,77;3,101
4,27;3,018
4,67;2,999
4,69;2,996
5,32;3,018
5,82;3,03
5,56;3,12
5,11;3,176
5,02;3,276
5,59;3,294
7,07;3,264
7,97;3,242
8,7;3,194
6,4;3,179
7,79;3,19
8,62;3,194
9,05;3,186
7,94;3,207
5,72;3,258
6,18;3,26
6,27;3,19
6,09;3,136
5,79;3,101
5,61;3,075
5,42;2,998
5,22;2,956
5,23;2,888
5,18;2,881
5,11;2,887
5,27;2,992
5,33;3,075
5,23;3,187
5,3;3,245
6,23;3,315
6,42;3,291
7,6;3,269
7,88;3,218
4,06;3,203
4,55;3,198
4,71;3,188
4,86;3,155
5,16;3,175
4,64;3,213
4,31;3,223
3,5;3,176
2,63;3,101
2,31;3,078
2,76;3,075
3,07;3,036
3,07;3,008
3,18;2,987
3,28;2,938
3,27;2,963
3,35;2,993
3,37;3,016
3,11;3,007
3,7;3,041
4,5;3,073
4,78;3,1
6;3,129
8,23;3,105
5,85;3,076
7,04;3,056
8,2;3,023
8,23;3,008
7,01;3,037
5,93;3,094
5,74;3,094
4,19;3,066
4,34;3,003
4,88;2,964
4,47;2,922
4,69;2,815
4,46;2,778
2,68;2,644
2,69;2,611
1,96;2,57
1,42;2,569
0,68;2,56
-0,17;2,595
-0,69;2,607
0,82;2,798
4,08;2,991
6,47;3,002
8,28;3,06
4,46;3,016
4,99;3,042
5,67;3,05
6,03;3,034
5,91;3,079
4,59;3,149
3,68;3,161
3,51;3,125
3,83;3,085
3,62;3,056
3,52;3,004
3,47;2,887
3,31;2,695
3,28;2,63
3,28;2,598
3,32;2,61
3,37;2,718
3,34;2,903
3,35;3,053
3,62;3,118
4,39;3,151
5,64;3,142
8,26;3,128
8,44;3,095
6,11;3,087
7,16;3,091
7,6;3,098
7,58;3,088
6,86;3,108
5,24;3,15
3,95;3,154
3,27;3,098
2,5;3,051
1,69;3,003
1,27;2,936
0,71;2,766
0,41;2,702
0,15;2,622
-0,16;2,591
-0,39;2,55
-0,53;2,627
-0,6;2,837
-0,62;3,035
-0,57;3,149
0,81;3,157
3,14;3,148
5,8;3,129
7,13;3,094
3,7;3,074
4,53;3,082
5,06;3,077
5,24;3,091
4,47;3,157
3,44;3,233
2,44;3,289
0,74;3,219
-0,05;3,178
-0,46;3,148
-0,99;3,074
-1,26;2,985
-1,49;2,856
-1,57;2,686
-1,42;2,672
-1,2;2,666
-0,95;2,745
-0,61;2,844
-0,25;2,978
0,11;3,079
0,7;3,077
1,34;3,063
1,95;3,047
2,4;3,017
2,71;3,002
3,02;2,996
3,38;3,001
3,67;2,99
3,76;3,002
3,4;3,049
3,3;3,056
3,15;3,016
3,03;2,931
2,91;2,87
2,76;2,76
2,56;2,638
2,29;2,611
2,03;2,507
1,78;2,448
1,4;2,511
1,1;2,675
0,88;2,773
0,69;3,025
0,56;3,111
0,87;3,184
0,97;3,206
1,19;3,24
1,66;3,216
1,87;3,184
1,99;3,167
2,21;3,123
2,39;3,081
2,21;3,091
1,97;3,193
1,77;3,264
1,54;3,185
1,4;3,047
1,28;3,008
1,15;2,931
1,03;2,782
0,87;2,826
0,72;2,727
0,55;2,707
0,36;2,724
0,22;2,806
0,19;2,942
0,23;3,073
0,48;3,261
0,97;3,334
1,43;3,308
1,96;3,276
2,39;3,224
2,35;3,157
2,71;3,108
3,07;3,086
3,31;3,073
3,34;3,095
3,05;3,164
3,05;3,227
3;3,169
2,87;3,113
2,78;3,096
2,72;3,084
2,55;3,046
2,38;3,008
2,24;2,998
2,22;2,988
2,2;2,995
2,18;3,006
2,12;3,01
2,12;3,07
2,43;3,072
3,4;3,104
4,62;3,132
6,22;3,119
7,78;3,099
2,92;3,007
3,03;2,958
3,22;2,951
3,33;2,959
2,74;3,006
2,21;3,099
2,03;3,102
1,93;3,069
1,89;2,989
1,81;2,958
1,83;2,933
1,72;2,849
1,66;2,854
1,56;2,786
1,34;2,731
1,08;2,727
0,68;2,739
0,23;2,782
-0,23;2,841
-0,36;2,878
0,16;2,913
0,52;2,931
1,04;2,975
1,74;2,968
2,1;2,949
2,37;2,937
2,54;2,922
2,74;2,909
2,48;2,946
1,89;3,051
1,18;3,153
0,63;3,087
0,08;3,014
-0,47;2,988
-0,97;2,962
-1,41;2,867
-1,77;2,879
-2,1;2,813
-2,36;2,782
-2,58;2,789
-2,74;2,845
-2,84;3,034
-2,91;3,17
-2,77;3,259
-2,31;3,297
-1,75;3,285
-0,99;3,274
-0,34;3,193
-0,36;3,097
0,19;3,076
0,56;3,084
0,78;3,103
0,47;3,15
-0,71;3,236
-1,96;3,251
-2,92;3,157
-4,2;3,054
-5,39;2,952
-5,91;2,87
-5,36;2,758
-4,63;2,738
-4,08;2,641
-3,77;2,619
-3,44;2,576
-3,11;2,66
-2,89;2,78
-2,62;2,969
-2,08;3,091
-1,07;3,137
0,21;3,117
0,99;3,089
1,42;3,05
1,5;3,053
1,85;3,063
2,12;3,071
2,15;3,08
2,02;3,099
1,72;3,241
1,42;3,265
1,34;3,193
1,3;3,097
1,1;3,079
0,45;3,029
-0,3;2,955
-0,63;2,883
-0,7;2,864
-0,71;2,792
-0,64;2,781
-0,52;2,88
-0,4;2,986
-0,38;3,095
-0,26;3,209
-0,31;3,234
-0,39;3,229
-0,23;3,215
-0,11;3,189
1,38;3,077
1,38;3,04
1,39;3,046
1,09;3,09
0,59;3,152
-0,99;3,23
-3,82;3,321
-5,47;3,239
-6,4;3,208
-7,27;3,152
-8,05;3,101
-8,79;2,993
-9,39;2,959
-9,97;2,918
-10,41;2,758
-8,87;2,76
-5,96;2,858
-4,38;2,983
-3,28;3,115
-2,43;3,282
-0,83;3,353
0,46;3,231
1,32;3,214
2,01;3,199
1,16;3,165
1,55;3,13
1,65;3,083
1,52;3,074
1,15;3,071
-0,49;3,199
-3,07;3,317
-2,75;3,209
-1,94;3,12
-1,61;3,047
-0,79;2,966
0,13;2,903
0,88;2,907
1,52;2,878
0,87;2,87
0,74;2,908
0,54;2,98
0,46;3,068
0,61;3,167
1,26;3,258
2,02;3,307
2,51;3,288
2,83;3,25
3,17;3,217
2,94;3,195
3,61;3,168
4,56;3,153
5,41;3,138
5,47;3,178
5,19;3,293
4,97;3,482
4,84;3,281
4,91;3,197
5,16;3,171
5,52;3,128
5,91;3,083
5,82;3,12
5,67;3,015
5,41;2,991
5,02;2,882
4,99;2,861
4,77;2,965
3,75;2,912
2,84;3,001
2,33;3,088
2,22;3,129
2,31;3,141
2,93;3,099
2,19;3,078
2,13;3,054
2,06;3,032
1,93;3,02
1,69;3,051
1,15;3,103
0,63;3,153
0,3;3,094
0,13;3,064
0,06;3,041
0,06;3,013
0,1;2,908
0,18;2,933
0,18;2,858
0,02;2,826
-0,12;2,796
-0,25;2,765
-0,38;2,785
-0,42;2,811
-0,07;2,845
0,47;2,934
0,83;3,006
1,12;2,996
1,35;2,993
1,14;3,012
1,47;2,973
1,78;2,94
2,02;2,942
2,08;2,958
2,01;3,065
1,18;3,249
1,13;3,302
0,83;3,236
0,52;3,157
0,26;3,115
0,15;3,054
0,15;3,032
0,16;2,961
0,15;2,885
0,1;2,808
0;2,931
-0,23;3,068
-0,35;3,301
0,32;3,83
0,68;4,002
0,85;3,884
1,2;3,511
1,56;3,383
0,95;3,345
0,9;3,302
0,91;3,286
1,11;3,264
1,16;3,253
0,84;3,421
0,58;3,666
0,59;3,338
0,73;3,244
0,9;3,215
1,02;3,152
0,75;3,097
0,67;3,082
0,51;3,008
0,3;3
0,21;3,008
0,03;3,082
-0,3;3,225
-0,42;3,499
0,02;4,376
0,4;4,877
0,58;4,878
0,8;4,779
0,97;4,735
1,18;4,461
1,46;4,333
1,67;4,166
1,84;3,917
1,96;3,829
1,51;4,72
0,44;4,949
-1,17;4,46
-2,56;3,71
-3,39;3,543
-3,24;3,398
-2,74;3,254
-2,39;3,22
-1,88;3,151
-1,26;3,105
-1;3,089
-0,76;3,081
-0,7;3,172
-0,59;3,427
-0,22;3,915
0,39;4,091
1,37;3,816
2,16;3,46
2,46;3,355
2,62;3,284
2,76;3,259
2,81;3,254
2,85;3,23
2,85;3,218
3,01;3,266
3,33;3,307
3,36;3,278
3,41;3,24
3,34;3,135
3,15;3,106
3,06;3,01
3,59;2,992
4,23;2,971
4,57;2,953
4,52;2,945
4,77;2,96
4,79;3,09
4,71;3,264
4,57;3,359
4,43;3,522
4,36;3,414
4,41;3,393
4,55;3,336
4,88;3,298
5,4;3,28
6,08;3,257
6,74;3,257
6,89;3,263
6,06;3,305
5,64;3,363
5,66;3,274
5,79;3,202
5,48;3,196
5,35;3,093
5,27;2,972
5,16;2,892
5,14;2,865
5,21;2,843
4,82;2,847
4,47;2,906
4,14;3,012
4,08;3,179
5,44;3,249
5,69;3,322
5,91;3,253
7,49;3,242
7,26;3,207
3,51;3,141
4,68;3,122
4,93;3,119
5,08;3,145
4,94;3,194
4,54;3,278
3,66;3,425
3,11;3,281
2,87;3,228
2,87;3,203
2,95;3,188
3,04;3,156
3,12;3,08
3,06;2,998
2,97;2,958
2,92;2,919
2,94;2,893
2,83;2,952
2,9;3,065
3,58;3,102
4,08;3,137
4,97;3,185
5,65;3,173
6,29;3,121
3,38;3,077
3,4;2,982
3,83;2,945
4,49;2,964
4,82;3,036
4,59;3,193
3,94;3,278
3,69;3,226
3,32;3,129
2,84;3,101
2,54;3,075
2,12;2,966
1,32;2,885
0,34;2,741
-0,64;2,675
-1,52;2,648
-2,13;2,684
-2,6;2,763
-3,19;2,783
-3,6;2,807
-3,78;2,882
-3,63;2,908
-3,37;2,926
-3,08;2,893
